Name,Ratings,Position,Version,PS,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,Country
Lionel Messi,94,CF,,0,4,3,93,87,82,97,46,67,"169cm | 5'7""",0,-,-,F.C. Barcelona,Argentina
Xavier Hernández Creus,92,CM,,0,3,3,67,72,92,85,68,53,"170cm | 5'7""",0,-,-,F.C. Barcelona,Spain
Cristiano Ronaldo,92,LW,,0,5,4,92,90,79,93,59,89,"186cm | 6'1""",0,-,-,Real Madrid Club de Fútbol,Portugal
Andrés Iniesta Luján,91,CAM,,0,4,4,78,72,90,91,65,55,"170cm | 5'7""",0,-,-,F.C. Barcelona,Spain
Arjen Robben,90,RM,,0,4,2,93,85,81,93,53,60,"181cm | 5'11""",0,-,-,Bayern München,Netherlands
Casillas,89,GK,,0,1,2,91,83,69,93,69,87,"182cm | 6'0""",0,-,-,Real Madrid Club de Fútbol,Spain
Nemanja Vidić,89,CB,,0,2,3,67,44,58,52,89,91,"189cm | 6'2""",0,-,-,Manchester United,Serbia
Rooney,89,ST,,0,3,4,83,88,79,84,71,81,176,0,-,-,Manchester United,England
Samuel Eto'o,88,ST,,0,4,3,93,83,68,85,58,79,"180cm | 5'11""",0,-,-,Anzhi Makhachkala,Cameroon
David Villa,88,LW,,0,4,5,85,89,73,86,57,73,"175cm | 5'9""",0,-,-,F.C. Barcelona,Spain
Zlatan Ibrahimovic,88,ST,,0,5,4,79,89,78,87,65,82,"195cm | 6'5""",0,-,-,Milan,Sweden
Wesley Sneijder,88,CAM,,0,4,5,79,80,88,84,63,49,"170cm | 5'7""",0,-,-,Inter,Netherlands
Carlos Tévez,88,ST,,0,4,3,84,87,75,83,69,74,"172cm | 5'8""",0,-,-,Manchester City,Argentina
Piqué,88,CB,,0,3,3,66,52,74,65,86,81,"192cm | 6'4""",0,-,-,F.C. Barcelona,Spain
Franck Ribéry,88,LM,,0,5,4,91,78,81,93,50,54,"170cm | 5'7""",0,-,-,Bayern München,France
Cesc Fàbregas,88,CAM,,0,3,3,71,80,89,83,69,65,"175cm | 5'9""",0,-,-,F.C. Barcelona,Spain
Luka Modric,88,CAM,,0,4,5,79,76,86,86,66,62,"175cm | 5'9""",0,-,-,Tottenham Hotspur,Croatia
Frank Lampard,87,CAM,,0,3,4,67,88,84,80,75,71,"184cm | 6'0""",0,-,-,Chelsea,England
